Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kolkata,PM2.5 - Principal,2016-01-01 01:00 AM,2016,01,01,01,419.0,446,Hazardous,399.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 02:00 AM,2016,01,01,02,410.0,440,Hazardous,401.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 03:00 AM,2016,01,01,03,411.0,441,Hazardous,412.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 04:00 AM,2016,01,01,04,396.5,431,Hazardous,382.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 05:00 AM,2016,01,01,05,391.2,428,Hazardous,383.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 06:00 AM,2016,01,01,06,404.2,436,Hazardous,418.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 07:00 AM,2016,01,01,07,477.3,485,Hazardous,604.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 08:00 AM,2016,01,01,08,473.6,482,Hazardous,467.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 09:00 AM,2016,01,01,09,511.5,507,Hazardous,576.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 10:00 AM,2016,01,01,10,524.0,516,Hazardous,545.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 11:00 AM,2016,01,01,11,386.4,425,Hazardous,235.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 12:00 PM,2016,01,01,12,331.6,381,Hazardous,277.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 01:00 PM,2016,01,01,13,282.3,333,Hazardous,233.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 02:00 PM,2016,01,01,14,249.6,299,Very Unhealthy,217.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 03:00 PM,2016,01,01,15,233.7,283,Very Unhealthy,218.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 04:00 PM,2016,01,01,16,220.8,271,Very Unhealthy,208.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 05:00 PM,2016,01,01,17,220.9,271,Very Unhealthy,221.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 06:00 PM,2016,01,01,18,234.9,285,Very Unhealthy,249.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 07:00 PM,2016,01,01,19,297.9,348,Hazardous,361.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 08:00 PM,2016,01,01,20,369.9,414,Hazardous,442.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 09:00 PM,2016,01,01,21,447.9,465,Hazardous,526.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 10:00 PM,2016,01,01,22,511.9,508,Hazardous,576.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-01 11:00 PM,2016,01,01,23,555.5,536,Hazardous,599.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 12:00 AM,2016,01,02,00,483.7,489,Hazardous,412.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 01:00 AM,2016,01,02,01,418.9,446,Hazardous,354.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 02:00 AM,2016,01,02,02,413.4,443,Hazardous,408.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 03:00 AM,2016,01,02,03,368.2,413,Hazardous,323.0,UG/M3,1 Hr,Valid
Kolkata,PM2.5 - Principal,2016-01-02 04:00 AM,2016,01,02,04,288.6,339,Hazardous,209.0,UG/M3,1 Hr,Valid
