,Date (LT),Raw Conc.,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,2019-10-19 19:00:00,49.0,82.0,81.0,94.0,135.0,2.0,0.0,29.87,0.0,1.0
1,2019-10-19 20:00:00,54.0,81.0,79.0,94.0,90.0,3.0,0.0,29.87,0.0,1.0
2,2019-10-19 21:00:00,56.0,79.0,75.0,89.0,112.5,5.0,0.0,29.87,0.0,1.0
3,2019-10-19 22:00:00,69.0,77.0,75.0,94.0,67.5,3.0,0.0,29.87,0.0,1.0
4,2019-10-19 23:00:00,75.0,77.0,75.0,94.0,22.5,3.0,0.0,29.87,0.0,1.0
5,2019-10-20 00:00:00,90.0,77.0,75.0,94.0,0.0,0.0,0.0,29.9,0.0,2.0
6,2019-10-20 01:00:00,99.0,77.0,75.0,94.0,0.0,0.0,0.0,29.93,0.0,2.0
7,2019-10-20 02:00:00,78.0,81.0,77.0,89.0,45.0,6.0,0.0,29.93,0.0,2.0
8,2019-10-20 03:00:00,85.0,84.0,79.0,84.0,45.0,8.0,0.0,29.96,0.0,1.0
9,2019-10-20 04:00:00,67.0,88.0,77.0,70.0,360.0,7.0,0.0,29.93,0.0,1.0
10,2019-10-20 05:00:00,60.0,90.0,77.0,66.0,22.5,6.0,0.0,29.93,0.0,1.0
11,2019-10-20 06:00:00,62.0,90.0,79.0,70.0,90.0,5.0,0.0,29.9,0.0,1.0
12,2019-10-20 07:00:00,70.0,91.0,79.0,66.0,67.5,6.0,0.0,29.87,0.0,1.0
13,2019-10-20 08:00:00,64.0,91.0,79.0,66.0,90.0,6.0,0.0,29.84,0.0,1.0
14,2019-10-20 09:00:00,65.0,93.0,77.0,59.0,67.5,3.0,0.0,29.81,0.0,1.0
15,2019-10-20 10:00:00,57.0,91.0,77.0,63.0,90.0,6.0,0.0,29.81,0.0,1.0
16,2019-10-20 11:00:00,55.0,90.0,73.0,59.0,45.0,5.0,0.0,29.81,0.0,1.0
17,2019-10-20 12:00:00,50.0,86.0,75.0,70.0,45.0,3.0,0.0,29.81,0.0,1.0
