Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2019-10-19,6:30 PM,82 F,81 F,94 %,NW,3 mph,0 mph,29.90 in,0.0 in,Haze
2019-10-19,7:00 PM,82 F,81 F,94 %,NW,2 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-19,7:30 PM,81 F,79 F,94 %,N,5 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-19,8:00 PM,81 F,79 F,94 %,N,3 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-19,8:30 PM,81 F,77 F,89 %,NNW,3 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-19,9:00 PM,79 F,75 F,89 %,NNW,5 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-19,9:30 PM,77 F,75 F,94 %,N,5 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-19,10:00 PM,77 F,75 F,94 %,NNE,3 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-19,10:30 PM,77 F,75 F,94 %,NE,3 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-19,11:00 PM,77 F,75 F,94 %,ENE,3 mph,0 mph,29.87 in,0.0 in,Haze
2019-10-19,11:30 PM,77 F,75 F,94 %,ENE,3 mph,0 mph,29.90 in,0.0 in,Fog
2019-10-20,12:00 AM,77 F,75 F,94 %,CALM,0 mph,0 mph,29.90 in,0.0 in,Fog
2019-10-20,12:30 AM,77 F,75 F,94 %,CALM,0 mph,0 mph,29.90 in,0.0 in,Fog
2019-10-20,1:00 AM,77 F,75 F,94 %,CALM,0 mph,0 mph,29.93 in,0.0 in,Fog
2019-10-20,1:30 AM,79 F,77 F,94 %,NNE,6 mph,0 mph,29.93 in,0.0 in,Fog
2019-10-20,2:00 AM,81 F,77 F,89 %,NE,6 mph,0 mph,29.93 in,0.0 in,Fog
2019-10-20,2:30 AM,82 F,79 F,89 %,NNE,7 mph,0 mph,29.96 in,0.0 in,Fog
2019-10-20,3:00 AM,84 F,79 F,84 %,NE,8 mph,0 mph,29.96 in,0.0 in,Haze
2019-10-20,3:30 AM,86 F,79 F,79 %,NE,5 mph,0 mph,29.93 in,0.0 in,Haze
