date, pm25
2020/1/3, 230
2020/1/4, 128
2020/1/5, 174
2020/1/6, 215
2020/1/7, 225
2020/1/8, 252
2020/1/9, 261
2020/1/10, 201
2020/1/11, 193
2020/1/12, 205
2020/1/13, 191
2020/1/14, 220
2020/1/15, 286
2020/1/16, 333
2020/1/17, 249
2020/1/18, 272
2019/10/2, 99
2019/10/3, 132
2019/10/4, 108
2019/10/5, 97
2019/10/6, 114
2019/10/7, 119
2019/10/8, 106
2019/10/9, 70
2019/10/10, 44
2019/10/11, 65
2019/10/12, 157
2019/10/13, 133
2019/10/14, 158
2019/10/15, 153
2019/10/16, 151
2019/10/17, 137
2019/10/18, 130
2019/10/19, 149
2019/10/20, 150
2019/10/21, 160
2019/10/22, 174
2019/10/23, 162
2019/10/24, 177
2019/10/25, 117
2019/11/19, 223
2019/11/20, 212
2019/11/21, 206
2019/11/22, 193
2019/11/23, 189
2019/11/24, 224
2019/11/25, 250
2019/11/26, 232
2019/11/27, 243
2019/11/28, 226
2019/11/29, 172
2019/11/30, 201
2019/12/1, 234
2019/12/2, 218
2019/12/3, 194
2019/12/4, 211
2019/12/5, 215
2019/12/6, 193
2019/12/7, 168
2019/12/8, 165
2019/12/9, 170
2019/12/10, 165
2019/12/11, 160
2019/12/12, 174
2019/12/13, 172
2019/12/14, 222
2019/12/15, 244
2019/12/16, 208
2019/12/17, 165
2019/12/18, 176
2019/12/19, 180
2019/12/20, 184
2019/12/21, 223
2019/12/22, 290
2019/12/23, 286
2019/12/24, 287
2019/12/25, 295
2019/12/26, 238
2019/12/27, 244
2019/12/28, 217
2019/12/29, 259
2019/12/30, 212
2019/7/2, 41
2019/7/3, 16
2019/7/4, 42
2019/7/5, 77
2019/7/6, 62
2019/7/7, 56
2019/7/8, 32
2019/7/9, 55
2019/7/10, 57
2019/7/11, 56
2019/7/12, 58
2019/7/13, 59
2019/7/14, 75
2019/7/15, 80
2019/7/16, 93
2019/7/17, 92
2019/7/18, 124
2019/7/19, 91
2019/7/20, 38
2019/7/21, 62
2019/7/22, 60
2019/7/23, 49
2019/7/24, 33
2019/7/25, 33
2019/7/26, 61
2019/7/27, 45
2019/7/28, 40
2019/7/29, 9
2019/7/31, 44
2019/8/1, 39
2019/8/2, 50
2019/8/3, 36
2019/8/4, 48
2019/8/5, 92
2019/8/6, 77
2019/8/7, 56
2019/8/8, 5
2019/8/9, 40
2019/8/10, 54
2019/8/11, 73
2019/8/12, 96
2019/8/13, 79
2019/8/14, 33
2019/8/15, 72
2019/8/16, 56
2019/8/17, 65
2019/8/18, 66
2019/8/19, 44
2019/8/20, 34
2019/8/21, 61
2019/8/22, 66
2019/8/23, 65
2019/8/24, 40
2019/8/25, 43
2019/8/26, 24
2019/8/27, 31
2019/8/28, 28
2019/8/29, 62
2019/8/30, 57
2019/8/31, 63
2019/9/1, 65
2019/9/2, 94
2019/9/3, 51
2019/9/4, 41
2019/9/5, 43
2019/9/6, 41
2019/9/7, 43
2019/9/8, 44
2019/9/9, 53
2019/9/10, 65
2019/9/11, 73
2019/9/12, 61
2019/9/13, 72
2019/9/14, 64
2019/9/15, 79
2019/9/16, 83
2019/9/17, 74
2019/9/18, 63
2019/9/19, 53
2019/9/20, 43
2019/9/21, 80
2019/9/22, 87
2019/9/23, 68
2019/9/24, 52
2019/9/25, 29
2019/9/26, 58
2019/9/27, 67
2019/9/28, 71
2019/9/29, 72
2019/9/30, 53
2019/10/1, 53
2019/4/2, 84
2019/4/3, 113
2019/4/4, 112
2019/4/5, 94
2019/4/6, 102
2019/4/7, 99
2019/4/8, 90
2019/4/9, 86
2019/4/10, 85
2019/4/11, 77
2019/4/12, 92
2019/4/13, 88
2019/4/14, 98
2019/4/15, 88
2019/4/16, 88
2019/4/17, 108
2019/4/18, 137
2019/4/19, 145
2019/4/20, 135
2019/4/21, 106
2019/4/22, 95
2019/4/23, 130
2019/4/24, 93
2019/4/25, 84
2019/4/26, 76
2019/4/27, 99
2019/4/28, 110
2019/4/29, 87
2019/4/30, 70
2019/5/1, 63
2019/5/2, 49
2019/5/3, 54
2019/5/4, 63
2019/5/5, 69
2019/5/6, 129
2019/5/7, 131
2019/5/8, 137
2019/5/9, 141
2019/5/10, 141
2019/5/11, 141
2019/5/12, 133
2019/5/13, 121
2019/5/14, 109
2019/5/15, 99
2019/5/16, 97
2019/5/17, 106
2019/5/18, 111
2019/5/19, 112
2019/5/20, 113
2019/5/21, 112
2019/5/22, 93
2019/5/23, 99
2019/5/24, 80
2019/5/25, 83
2019/5/26, 76
2019/5/27, 77
2019/5/28, 62
2019/5/29, 48
2019/5/30, 66
2019/5/31, 52
2019/6/1, 39
2019/6/2, 64
2019/6/3, 56
2019/6/4, 79
2019/6/5, 74
2019/6/6, 63
2019/6/7, 49
2019/6/8, 46
2019/6/9, 30
2019/6/10, 76
2019/6/11, 77
2019/6/12, 72
2019/6/13, 68
2019/6/14, 91
2019/6/15, 87
2019/6/16, 48
2019/6/17, 65
2019/6/18, 107
2019/6/19, 98
2019/6/20, 115
2019/6/21, 89
2019/6/22, 44
2019/6/23, 50
2019/6/24, 38
2019/6/25, 50
2019/6/26, 44
2019/6/27, 23
2019/6/28, 29
2019/6/29, 48
2019/6/30, 79
2019/7/1, 93
2019/1/2, 252
2019/1/3, 221
2019/1/4, 268
2019/1/5, 302
2019/1/6, 283
2019/1/7, 216
2019/1/8, 223
2019/1/9, 226
2019/1/10, 239
2019/1/11, 255
2019/1/12, 237
2019/1/13, 296
2019/1/14, 224
2019/1/15, 277
2019/1/16, 265
2019/1/17, 208
2019/1/18, 242
2019/1/19, 262
2019/1/20, 293
2019/1/21, 270
2019/1/22, 310
2019/1/23, 355
2019/1/24, 272
2019/1/25, 229
2019/1/26, 196
2019/1/27, 182
2019/1/28, 179
2019/1/29, 180
2019/1/30, 174
2019/1/31, 171
2019/2/1, 232
2019/2/2, 216
2019/2/3, 241
2019/2/4, 222
2019/2/5, 216
2019/2/6, 217
2019/2/7, 234
2019/2/8, 237
2019/2/9, 185
2019/2/10, 178
2019/2/13, 168
2019/2/14, 204
2019/2/15, 253
2019/2/16, 236
2019/2/17, 161
2019/2/18, 161
2019/2/19, 176
2019/2/20, 174
2019/2/21, 160
2019/2/22, 181
2019/2/23, 149
2019/2/24, 167
2019/2/25, 164
2019/2/26, 151
2019/2/27, 120
2019/2/28, 69
2019/3/1, 94
2019/3/2, 136
2019/3/3, 153
2019/3/4, 178
2019/3/5, 157
2019/3/6, 126
2019/3/7, 155
2019/3/8, 161
2019/3/9, 149
2019/3/10, 149
2019/3/11, 125
2019/3/12, 123
2019/3/13, 157
2019/3/14, 137
2019/3/15, 165
2019/3/16, 160
2019/3/17, 123
2019/3/18, 148
2019/3/19, 119
2019/3/20, 134
2019/3/21, 144
2019/3/22, 135
2019/3/23, 129
2019/3/24, 145
2019/3/25, 137
2019/3/26, 158
2019/3/27, 143
2019/3/28, 137
2019/3/29, 133
2019/3/30, 117
2019/3/31, 123
2019/4/1, 116
2018/10/2, 143
2018/10/3, 147
2018/10/4, 136
2018/10/5, 154
2018/10/6, 175
2018/10/7, 163
2018/10/8, 164
2018/10/9, 167
2018/10/10, 123
2018/10/11, 45
2018/10/12, 54
2018/10/13, 61
2018/10/14, 79
2018/10/15, 93
2018/10/16, 135
2018/10/17, 152
2018/10/18, 168
2018/10/19, 165
2018/10/20, 167
2018/10/21, 179
2018/10/22, 180
2018/10/23, 176
2018/10/24, 186
2018/10/25, 178
2018/10/26, 177
2018/10/27, 196
2018/10/28, 184
2018/10/29, 170
2018/10/30, 120
2018/10/31, 99
2018/11/1, 81
2018/11/2, 89
2018/11/3, 131
2018/11/4, 147
2018/11/5, 125
2018/11/6, 136
2018/11/7, 168
2018/11/8, 280
2018/11/9, 283
2018/11/10, 223
2018/11/11, 228
2018/11/12, 188
2018/11/13, 199
2018/11/14, 230
2018/11/15, 214
2018/11/16, 206
2018/11/18, 204
2018/11/19, 187
2018/11/20, 190
2018/11/21, 219
2018/11/22, 226
2018/11/23, 265
2018/11/24, 250
2018/11/25, 270
2018/11/26, 298
2018/11/27, 243
2018/11/28, 176
2018/11/29, 168
2018/11/30, 175
2018/12/1, 179
2018/12/2, 209
2018/12/3, 193
2018/12/4, 224
2018/12/5, 231
2018/12/6, 278
2018/12/7, 276
2018/12/8, 341
2018/12/9, 301
2018/12/10, 279
