location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
US Diplomatic Post: Kolkata,Kolkata,IN,2020-01-18T04:30:00.000Z,2020-01-18T10:00:00+05:30,pm25,171,µg/m³,22.56263,88.36304,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
US Diplomatic Post: Kolkata,Kolkata,IN,2020-01-18T03:30:00.000Z,2020-01-18T09:00:00+05:30,pm25,172,µg/m³,22.56263,88.36304,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
US Diplomatic Post: Kolkata,Kolkata,IN,2020-01-18T02:30:00.000Z,2020-01-18T08:00:00+05:30,pm25,249,µg/m³,22.56263,88.36304,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
US Diplomatic Post: Kolkata,Kolkata,IN,2020-01-18T01:30:00.000Z,2020-01-18T07:00:00+05:30,pm25,229,µg/m³,22.56263,88.36304,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
US Diplomatic Post: Kolkata,Kolkata,IN,2020-01-18T00:30:00.000Z,2020-01-18T06:00:00+05:30,pm25,191,µg/m³,22.56263,88.36304,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
US Diplomatic Post: Kolkata,Kolkata,IN,2020-01-17T23:30:00.000Z,2020-01-18T05:00:00+05:30,pm25,167,µg/m³,22.56263,88.36304,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
US Diplomatic Post: Kolkata,Kolkata,IN,2020-01-17T22:30:00.000Z,2020-01-18T04:00:00+05:30,pm25,147,µg/m³,22.56263,88.36304,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
US Diplomatic Post: Kolkata,Kolkata,IN,2020-01-17T21:30:00.000Z,2020-01-18T03:00:00+05:30,pm25,139,µg/m³,22.56263,88.36304,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
US Diplomatic Post: Kolkata,Kolkata,IN,2020-01-17T20:30:00.000Z,2020-01-18T02:00:00+05:30,pm25,174,µg/m³,22.56263,88.36304,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
US Diplomatic Post: Kolkata,Kolkata,IN,2020-01-17T19:30:00.000Z,2020-01-18T01:00:00+05:30,pm25,144,µg/m³,22.56263,88.36304,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
