Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2020-01-17,6:30 PM,63 F,61 F,94 %,NNW,7 mph,0 mph,29.96 in,0.0 in,Haze
2020-01-17,7:00 PM,63 F,61 F,94 %,N,7 mph,0 mph,29.96 in,0.0 in,Haze
2020-01-17,7:30 PM,63 F,61 F,94 %,N,7 mph,0 mph,29.96 in,0.0 in,Haze
2020-01-17,8:00 PM,63 F,59 F,88 %,N,3 mph,0 mph,29.96 in,0.0 in,Haze
2020-01-17,8:30 PM,63 F,59 F,88 %,NNW,6 mph,0 mph,29.96 in,0.0 in,Haze
2020-01-17,9:00 PM,61 F,59 F,94 %,N,6 mph,0 mph,29.96 in,0.0 in,Haze
2020-01-17,9:30 PM,61 F,59 F,94 %,N,6 mph,0 mph,29.93 in,0.0 in,Haze
2020-01-17,10:00 PM,61 F,59 F,94 %,NNW,6 mph,0 mph,29.93 in,0.0 in,Haze
2020-01-17,10:30 PM,61 F,59 F,94 %,NNW,6 mph,0 mph,29.93 in,0.0 in,Haze
2020-01-17,11:00 PM,61 F,59 F,94 %,N,7 mph,0 mph,29.96 in,0.0 in,Haze
2020-01-17,11:30 PM,61 F,59 F,94 %,N,7 mph,0 mph,29.96 in,0.0 in,Haze
2020-01-18,12:00 AM,59 F,57 F,94 %,N,7 mph,0 mph,29.96 in,0.0 in,Fog
2020-01-18,12:30 AM,59 F,57 F,94 %,N,6 mph,0 mph,29.98 in,0.0 in,Fog
2020-01-18,1:00 AM,59 F,57 F,94 %,N,5 mph,0 mph,29.98 in,0.0 in,Fog
2020-01-18,1:30 AM,59 F,57 F,94 %,N,5 mph,0 mph,30.01 in,0.0 in,Fog
2020-01-18,2:00 AM,59 F,57 F,94 %,N,8 mph,0 mph,30.01 in,0.0 in,Fog
2020-01-18,2:30 AM,61 F,57 F,88 %,N,8 mph,0 mph,30.01 in,0.0 in,Fog
2020-01-18,3:00 AM,61 F,57 F,88 %,N,9 mph,0 mph,30.04 in,0.0 in,Fog
2020-01-18,3:30 AM,63 F,57 F,82 %,NNW,12 mph,0 mph,30.04 in,0.0 in,Fog
2020-01-18,4:00 AM,63 F,57 F,82 %,N,9 mph,0 mph,30.04 in,0.0 in,Fog
2020-01-18,4:30 AM,64 F,57 F,77 %,NW,9 mph,0 mph,30.04 in,0.0 in,Haze
2020-01-18,5:00 AM,64 F,57 F,77 %,NNW,8 mph,0 mph,30.04 in,0.0 in,Haze
2020-01-18,5:30 AM,66 F,57 F,73 %,NNW,8 mph,0 mph,30.04 in,0.0 in,Haze
2020-01-18,6:00 AM,66 F,57 F,73 %,NNW,8 mph,0 mph,30.04 in,0.0 in,Haze
2020-01-18,6:30 AM,68 F,57 F,68 %,NNW,6 mph,0 mph,30.01 in,0.0 in,Haze
2020-01-18,7:00 AM,68 F,57 F,68 %,NW,8 mph,0 mph,30.01 in,0.0 in,Haze
2020-01-18,7:30 AM,68 F,57 F,68 %,NNW,9 mph,0 mph,29.98 in,0.0 in,Haze
2020-01-18,8:00 AM,70 F,57 F,64 %,NW,7 mph,0 mph,29.96 in,0.0 in,Haze
2020-01-18,8:30 AM,70 F,59 F,68 %,NNW,7 mph,0 mph,29.96 in,0.0 in,Haze
2020-01-18,9:00 AM,70 F,57 F,64 %,NNW,8 mph,0 mph,29.96 in,0.0 in,Haze
2020-01-18,9:30 AM,70 F,59 F,68 %,N,7 mph,0 mph,29.93 in,0.0 in,Haze
2020-01-18,10:00 AM,70 F,59 F,68 %,NNW,6 mph,0 mph,29.93 in,0.0 in,Haze
2020-01-18,10:30 AM,68 F,57 F,68 %,NNW,7 mph,0 mph,29.93 in,0.0 in,Haze
2020-01-18,11:00 AM,68 F,55 F,64 %,NNW,6 mph,0 mph,29.93 in,0.0 in,Haze
2020-01-18,11:30 AM,66 F,55 F,68 %,N,5 mph,0 mph,29.96 in,0.0 in,Haze
2020-01-18,12:00 PM,66 F,55 F,68 %,N,5 mph,0 mph,29.96 in,0.0 in,Haze
2020-01-18,12:30 PM,64 F,55 F,73 %,N,3 mph,0 mph,29.96 in,0.0 in,Haze
2020-01-18,1:00 PM,64 F,55 F,73 %,NNE,3 mph,0 mph,29.98 in,0.0 in,Haze
2020-01-18,1:30 PM,64 F,54 F,68 %,CALM,0 mph,0 mph,29.98 in,0.0 in,Haze
2020-01-18,2:00 PM,64 F,54 F,68 %,CALM,0 mph,0 mph,29.98 in,0.0 in,Haze
2020-01-18,2:30 PM,63 F,55 F,77 %,CALM,0 mph,0 mph,30.01 in,0.0 in,Haze
2020-01-18,3:00 PM,63 F,54 F,72 %,NE,3 mph,0 mph,30.01 in,0.0 in,Haze
2020-01-18,3:30 PM,63 F,54 F,72 %,CALM,0 mph,0 mph,30.01 in,0.0 in,Haze
2020-01-18,4:00 PM,61 F,54 F,77 %,CALM,0 mph,0 mph,30.01 in,0.0 in,Haze
2020-01-18,4:30 PM,61 F,54 F,77 %,CALM,0 mph,0 mph,30.01 in,0.0 in,Haze
2020-01-18,5:00 PM,61 F,54 F,77 %,CALM,0 mph,0 mph,30.01 in,0.0 in,Haze
2020-01-18,5:30 PM,61 F,54 F,77 %,CALM,0 mph,0 mph,30.04 in,0.0 in,Haze
2020-01-18,6:00 PM,61 F,54 F,77 %,CALM,0 mph,0 mph,30.04 in,0.0 in,Haze
